produit,pays,valeur_2000,valeur_2001,valeur_2002,valeur_2003,valeur_2004,valeur_2005,valeur_2006,valeur_2007,valeur_2008,valeur_2009,valeur_2010,valeur_2011,valeur_2012,valeur_2013,valeur_2014,valeur_2015,valeur_2016,valeur_2017,valeur_2018,valeur_2019,valeur_2020,valeur_2021,valeur_2022,valeur_2023,poids_2000,poids_2001,poids_2002,poids_2003,poids_2004,poids_2005,poids_2006,poids_2007,poids_2008,poids_2009,poids_2010,poids_2011,poids_2012,poids_2013,poids_2014,poids_2015,poids_2016,poids_2017,poids_2018,poids_2019,poids_2020,poids_2021,poids_2022,poids_2023
MELON,PORTUGAL,505247,69261,1965280,676360,1774851,4060339,24525,1724512,550222,7085742,6896321,8740676.0,3800678.0,10438385.0,11463727.06,12006125.07,13425315.55,22464755.17,23438601.999,14876943.661,13600867.991,17512231.76,29240188.904,23825499.168,190682,33189,287560,69325,202753,745011,2475,307664,111388,1092217,1708981,1107496,689225.0,1155577.0,1376820.0,1241464.0,1430477.0,2434360.0,2149400.0,1554918.0,1389249.0,1572653.0,1901980.0,1954084.0
MELON,QATAR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,150802.0,108747.0,296097.0,1910461.0,227326.0,4684510.2,1486118.0,696569.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6746.6,12030.0,10837.8,83795.45,8346.76,207655.29,48274.32,20031.72
MELON,REPUBLIQUE DE COREE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1133.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,REPUBLIQUE TCHEQUE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40291.444,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,0.0,0.0,0.0
MELON,ROUMANIE,0,0,0,0,0,0,0,0,0,0,115500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,ROYAUME-UNI,468041,0,1038200,7326714,800671,990222,1399176,11756013,8947911,647179,7210640,8749370.0,1265685.94,1387850.0899999999,1892442.3599999999,2219354.95,416833.69,503177.19,2237628.2210000004,1414799.311,4001536.895,2761671.686,3423361.251,5248560.781,48476,0,134600,626391,74675,82400,162750,1125296,978952,63000,1128905,1422618,108322.0,169725.0,340121.5,413348.0,27000.0,108035.0,197865.0,134789.0,624678.5,96472.1,225998.0,377203.46
MELON,SENEGAL,0,2034,0,0,60,0,0,27032,0,0,75420,256400.0,54875.0,102900.0,70199.0,196063.25,384988.0,165268.985,210036.49,267763.0,282623.0,369182.0,405221.0,105174.0,0,166,0,0,13,0,0,8900,0,0,43400,91600,23990.0,37300.0,33232.0,80280.0,173054.0,60854.0,88499.0,116622.0,110557.0,129536.0,81306.0,36070.0
MELON,SIERRA LEONE,0,0,0,0,0,0,0,0,2003,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.0,10455.79,1875.45,0,0,0,0,0,0,0,0,250,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,990.0,35.0
MELON,SINGAPOUR,0,0,0,0,0,13990,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199106.893,0.0,192892.889,130591.56,2809.0,0,0,0,0,0,5540,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5315.1,0.0,9302.8,3305.0,73.8
MELON,SLOVAQUIE,292454,0,13461,0,0,0,0,0,0,0,0,48895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48101,0,11107,0,0,0,0,0,0,0,0,8890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,SLOVENIE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,231582.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12660.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,SUEDE,840,0,0,0,1776,0,0,0,0,33000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508900.0,0.0,0.0,39143.364,240,0,0,0,80,0,0,0,0,6600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211117.0,0.0,0.0,2310.0
MELON,SUISSE,0,356488,610926,1280131,928499,1099571,2780649,3484341,4012547,2666745,2032817,2421344.0,3870258.0,5859774.375,1653262.0,0.0,0.0,0.0,1964553.55,281440.5,1633557.79,0.0,0.0,173320.0,0,64816,80356,141007,138120,126989,347573,435382,634233,187220,210928,252003,412644.8,734526.0,249339.0,0.0,0.0,0.0,217428.32,48710.0,167099.2,0.0,0.0,14825.0
MELON,TERRITOIRE PALESTINIEN OCCUPE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116083.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
MELON,TOGO,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10221.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,TURQUIE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,7715.88,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,190.0
MELON,UKRAINE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,83861.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
